id,city,city_aka,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type
50,Prague,[],,Czechia,CZE,Europe,50.0596288,14.44645927,130.085,1165581,10698896,5.9,99,174.6,43.9,26.2,88.19,"[cmnzgeXDReU,jeS5VPBrXLo,UUVcQTMtKlo,gAH3yvalKx8,OSpHJ4Ap7J8,B0blYqFsY60,3Iq0oO69VDI,tEJb_Hxe2wY,uSzxAwjinQ8,wSicX07AaCI,80FYzhCDvP8,UPFD0jmiUIw,UM2p6U8nVes]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[76],[55],[230],[0],[0],[147],[1],[0],[0],[2],[0],[160],[39]]","[[5220],[2445],[1300],[2793],[18000],[2962],[1283],[1541],[1600],[2005],[4491],[6003],[1810]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
51,Rome,[],,Italy,ITA,Europe,41.8933203,12.4829321,233.596,2318895,59554023,5.3,99,168.1,48.1,34.8,125.3,"[aJw5od-0p2I,dwWxcu9Srts,uuAKvl56YVs,XmI335zvBF8,ag8VB3nSGVg,hpyk9hHgfQA,ebxiasWyeBw,ytiM1nMv_xU]","[[1],[0,1],[0],[0],[0],[0,0],[1],[0]]","[[30],[63,4426],[180],[12],[874],[1500,680],[23],[24]]","[[1565],[4426,5355],[5625],[3320],[2083],[2112,1030],[1913],[3530]]","[0,0,0,0,0,0,0,0]"
52,Podgorica,[],,Montenegro,MNE,Europe,42.4415238,19.2621081,7.404,236852,621718,7.6,99.2,176.6,40.7,34.3,72.26,"[VTOJfCTgv-0,4sEvZm0SZFg]","[[0],[0]]","[[172],[0]]","[[2505],[699]]","[0,0]"
53,Skopje,[],,North Macedonia,MKD,Europe,41.9961816,21.4319213,14.761,474889,2077132,5.1,98.4,168.6,40.1,33.5,85.1,"[NPIveID4qqU,oxxucX4dr5k,Op7tlrGEsg0,F8P8SyfGegA,EOqfYD59Sw8,bBIUPIa8ZwY,gMTAQ_gOtK0,1YAnb9aXOXY,KrqBv36_344,VAaGGuK8rvo,dqJvDiEheSY,ay1jdE4rIuU,5NdobtWZzOA,hPgeaUa4n_U,gNuzHOZ3liA,hAuuCAzYAoQ,OqfrTE6hESs,8PZT3_Qso0Y,zN-PZsNWidU,tWUqSVzCOqg,nwhMKuC4k-U,LEAlWBtWO4g,yKOC_AxaVi8,acbeDr6zzRw,Md8x3cuIlzw,h0WQ4vcfwRs,bXLZk9Cq51Q]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[80],[0],[0],[0],[32],[55],[34],[23],[0],[40],[32],[42],[56],[41],[54],[50],[58],[34],[41],[66],[26],[36],[64],[0],[24],[0],[0]]","[[3645],[1426],[768],[761],[1753],[1865],[1515],[2910],[2695],[1420],[1369],[2034],[2510],[975],[1904],[2430],[3386],[1953],[1788],[2145],[2464],[955],[1160],[2017],[2298],[1439],[672]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,0,0,0,0,0,0,0,0,0]"
54,Zagreb,[],,Croatia,HRV,Europe,45.8130967,15.9772795,29.63,663592,4047200,7.9,99.3,173.8,44.8,28.9,92.6,"[sX5rVQhy2Dc,mR6GsaFdPno,4z-ADq1tlSA,CWoA0gG_ZdQ,suqACGNB4eU,vCAETG7GyC4,-PiYffbdHg0,Djtbtwu1oNs,oZR40-j7c-U,R8QmFjGBYao,U5Cu243gDT8,zaBHkcQIj4I,RAofWA9aDVg,AOxylOi1WYM,1uklgL5iK04,O0_2dRp4PzI,p-HF8Id16xQ,7qq2yUO1Jjs,7uG_ErCwCi8,rQivVSSn_Fc,-7Aerl8jUV0,DAZRxzwb16Q,I4iqzfYqXv8,S9zs6I_7JO8,v4PfJrCVED0,JCg-TcvjVNc,n4WbyphoX_M,OvNUjh6CXmQ,_1oCA951-QQ,0sREALjkAHY,yD8IdCsoeHY,ISzYUOF63MY,L2idhaC-S3o]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[1],[0,1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[63],[13615],[27],[18820],[370],[0],[0],[0],[0],[11],[3],[0],[3],[0],[25],[0],[0],[0],[0],[0,2791],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[4462],[14669],[1744],[20712],[1220],[3306],[1207],[1800],[1251],[920],[475],[3074],[2715],[2202],[1123],[1360],[1624],[1800],[2998],[2790,3832],[1486],[917],[1237],[1334],[1099],[1412],[1387],[1451],[1503],[1294],[1396],[1758],[443]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
55,Tirana,[],,Albania,ALB,Europe,41.32763453,19.81782243,22.977,418495,2837743,11.7,98.1,168.1,35.8,29.4,114.7,"[8cJcUWHV5AY,gG1z1Lw7VoU]","[[0],[0]]","[[65],[0]]","[[3240],[2598]]","[0,0]"
56,Bratislava,[],,Slovakia,SVK,Europe,48.1516988,17.1093063,33.072,423737,5458827,6.1,100,174,42.5,24.1,99.1,"[zGtYN3lP9VY,2Eaxi2jDfVc,FqI-fMOfqOs,htV0XEpCVQA,_k2hK6z-DDM,x3Y8OU2LEZQ]","[[0],[0],[0],[0],[0,0],[0]]","[[56],[34],[0],[0],[68,1235],[1079]]","[[2820],[724],[1609],[828],[1215,1277],[1387]]","[0,0,0,0,0,0]"
57,Budapest,[],,Hungary,HUN,Europe,47.48138955,19.14609413,86.93,1741041,9749763,7.7,99.1,169.5,44.5,29.2,125.6,"[nhmYYU9sr54,bnuSxnSXdRo,dYtmrI8Yjp4,ViGbe8pbSNM,e8CoToxc1yI,inS0-1PLmXE,J3iAAmYLqFw,LWX2lpuSjGk,fhiFh3lOhvo,twbf-z2yQnw,lgHo0K35Tc4,EcwOmM3BU6w,zuI1u2bf7R4,Xogz5TUztF4,imTFeT7JKeg,nOP1blfMCTg,oHmrHOvZ6lI,deAqBnEa3qI,IRWC5NQiyBo,_5KFNvTSNTU,eIPKYlwMmMc,8RNU59lwIGs,7F8pN_am5Gg]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,1],[0],[0],[0],[0],[0],[0]]","[[80],[55],[68],[6289],[360],[3598],[272],[34],[0],[7],[3],[3],[6],[7],[0],[6],[9,3263],[8],[7],[6],[6],[48],[12]]","[[6210],[900],[2487],[8851],[2844],[4473],[2935],[985],[1156],[1439],[1534],[1179],[1181],[1141],[516],[3574],[3262,3647],[3655],[1783],[2039],[1844],[1247],[634]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
58,Berlin,[],,Germany,DEU,Europe,52.510885,13.3989367,271.818,3426354,83240525,3.8,99,173.2,46.7,32.4,99.7,"[R_qfsPcnw-w,Alg8peh6JyU,9WXXaUI6urs,wZ54yBDMdBs,-DWO_yqJplE,3iZULQIumAI,opq0NVzPEao,Z35oOIwLpBI,MYjGr5jKRWg,tiurLOJ2OTA,dKmWMO0bzdU,Y5NVwNtRbN4,WwmrisOynGI,W2c0nxQI2es,w4nYcx5iNeY,LNorEAo7HnU,3NikpHog-8Q,h2idRrX8l0s,zu4v7I0T7hk,6YlEDDIe8T8,CC0fH_jb0X0,LV8rr-2Q5Os,VwOiFcdrsfg,tKuvX_CSEM0,YqcybONWHcg,7J8MP5N7SQA,eZiEiPoFJSo,-F_5gu-glcs,fwaDUzCGg74]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,1]]","[[0],[0],[22],[0],[0],[10],[0],[0],[0],[0],[0],[0],[0],[0],[0],[7],[0],[0],[0],[3],[0],[5],[0],[0],[0],[5],[6],[0],[120,11689]]","[[2153],[2033],[1004],[560],[2267],[1348],[1153],[3372],[1327],[2124],[3372],[1829],[1647],[1267],[1517],[1386],[2118],[1434],[1610],[793],[1853],[1895],[2469],[2427],[2315],[1281],[1355],[1377],[11654,13233]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
59,Astana,[],,Kazakhstan,KAZ,Asia,51.1282205,71.4306682,23.115,345604,18754440,12.7,99.8,168.6,31.7,29.2,134.9,"[YPYPP3VbQEU,kTVrIhqLL7c,f6NNgAG0GQs,cG8uG7pSbdc,E7bB9YCEX4U]","[[0],[0],[0],[0,0],[0]]","[[90],[0],[0],[23,112],[17]]","[[2863],[934],[920],[63,135],[1528]]","[0,0,0,0,0]"
60,Tallinn,[],,Estonia,EST,Europe,59.4372155,24.7453688,22.797,394024,1331057,4.5,99.8,175.7,44.7,31.8,75.8,"[6tDaEas8C4E,lt_gq69CQKE,U_pkdB8nr6g,O4oOTghT7vU,LsFs3sMrVyQ,2yWrk2vJaTs,0o6-6qJRHYY,3xESJrvfgME,ZKWMpfVi5QA,R-QArNXzTTM,h6OcbPKlgUA,H4fBhXEX1Zk,MdsBKNMOI80]","[[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0,0]]","[[0],[0],[90],[36],[0],[91],[0],[136],[0],[0],[0],[0],[0,282]]","[[2342],[1570],[1830],[1453],[996],[2890],[1338],[759],[810],[825],[910],[510],[100,581]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
61,Vilnius,[],,Lithuania,LTU,Europe,54.6870458,25.2829111,30.915,542366,2794700,8.1,99.8,174.1,45,36.7,84.2,"[TqLWALg_Ko8,P93T4vucjy0,QhQFXmyYRys,oo6Xd5I-NoA,D33Mh1fQQv8,ZXKbPqaa5w8,iR7TQA700hM,IrEoGnWH4Yo,_3LCZMy324Y,EICq5iO9Rgc,EFlRcxOAElE,O6q_43lMWCA,F_fbZA65Nis,nJnIkFhtlO4,b1UksDz2ieU,7MzfGNg46PM,rOydTUVMris,qZMcHd64d2M,HPxC-TbuLWo,hsGRSQHtG9s,K5qyNwBAb7A,2x_c-CYkk3o,XZc1wwoaBtI,GurtsfaX25M,OccaRWim7Eg,Bta3MH2GAwM,OjEaLRNvBy4,RxvKoDBjBCY,lsRV0M3Ud4w,8UEeyoet_ss,c1jRvducq4k,QZE_nqeR7LI,NkWyeT-UsyQ,CbnHnEbMGjA,ZKew_5Vt22g,ncgQlqAcr4Y,bd_Ypguco0g]","[[0],[0,1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[1,1],[0],[0],[0]]","[[0],[0,2255],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[10],[50],[25],[0],[0],[0],[27],[0],[91],[50],[0],[0],[40],[0],[51],[3],[3],[0],[0,217],[0],[473],[0]]","[[3464],[2255,4012],[1176],[1126],[569],[831],[1602],[1014],[2234],[2000],[2780],[990],[1179],[927],[3035],[774],[1228],[1106],[1182],[1178],[665],[1618],[2669],[1889],[950],[593],[742],[1740],[770],[470],[300],[524],[762],[202,372],[750],[980],[261]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
62,Chișinău,[Chisinau],,Moldova,MDA,Europe,47.024512,28.832292,16.53944,635994,2617820,7.3,99.4,169.3,39.4,25.7,99.1,"[19rgXCNoKPM,yO0JKEaPG4w,Cy-XYNfuOnI,_I0D_LxiKoc,KmH1sUkso8w,mVdJrD5nOUU,2pnVxfl7kX8,kW7_-mSduDo,gK_dNsMMLa4,Ae7-93gAvNA,abCPr-4OtSg,NVPQ690AkPc,CD4XIpKAfc0,R3jcGIVZyKs,zesaZ2fHRmE,oGvsQWe0LrQ,aW5ST0StzZQ,VDiXO9NTKYA,A3OV8Mgkh_U,xK4xsrWyCo8,4tD4PThe2pc,fCeJEXpOidg,uVsENE_84XU,HBEsMTT76hM,Da0Rp5lhkgI,hpsrT4m6aNs,yGeUM6H0BsQ,muLtlD2R7Io,lm6-CITR19k,svSTIRJDHFQ,zLBDmnw0swQ,f7smkPI2whw,2ZqrG2Xct_0,G5Z6VR78alI,pK9-XI1k8M8,jfcNqjUYQFs,jjpKNNXgL70,zRYdranl_EA,Nx769d-z_0A,WZZhR6oMgB4,2QjOeTRlTiw,s5U47r6fNOk,eA-txnADk0c,EBhA4NqnVe4,7YPEwrn8nug,sbYYIKXDGO8,VnhWcQIcm04,btso40AIxBY,_jP380oP-VM,jchQBYFTbwc]","[[0],[0],[0],[0],[0],[0],[0],[0],[0,0,0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[10],[461],[0],[10],[160],[0],[15],[0],[14,585,756],[15],[13],[0],[0],[39],[0],[25],[10],[0],[120],[316],[40],[25],[0],[0],[0],[18],[0],[17],[1028],[358],[16],[0],[0],[0],[0],[0],[0],[0],[0],[0,2816],[21],[0],[100],[907],[32],[1927],[0],[1019],[0],[6]]","[[1763],[1740],[1321],[989],[608],[1556],[2470],[1228],[562,742,1119],[665],[734],[606],[313],[1024],[670],[516],[1860],[1465],[1266],[1670],[2359],[1950],[2101],[2480],[518],[712],[786],[536],[1619],[578],[669],[996],[1064],[634],[1134],[903],[892],[843],[600],[2665,4725],[175],[1128],[1707],[3944],[360],[2253],[206],[1138],[818],[513]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
63,Nicosia,[],,Cyprus,CYP,Europe,35.1746503,33.3638783,28.407,200452,1207361,5.8,99.1,166.6,39.1,31.3,107.2,"[R-Sm58xz9oU,2XZoTi3YYCo,DAaKyxoYToU,f028quRIaHw,0QjICGgFHCc,niELtiQ-4s8,qfDaz9B1oa8,CAwpAmMz4ko,pj-SGuo4gEw,65ZRsPLeUns,56n7Krwh1t0,KU8LQHx6ytA,ijxQVcFZTwI,E0h6Coa_k-Q,rIzuahkjuEs,rNJ3FQeq2ug,FEOd8ccdqS8,EOH7GpDn68o,krY1smqlhUY,Izz5TKg5VQE,ISX6thHwZ1g,rPTeAXrj9dM]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[0],[0],[2708],[0],[0],[2631],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[395],[0],[0],[0],[0],[15]]","[[1017],[1610],[3544],[960],[917],[3260],[2293],[600],[1226],[1194],[885],[1792],[1185],[1258],[1284],[700],[1392],[997],[1312],[1077],[804],[1773]]","[0,0,0,0,0,0,0,0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
64,Beirut,[],,Lebanon,LBN,Asia,33.889226,35.502559,20.99242,1916100,6825442,16.4,95.1,171.3,35.8,31.8,185.9,"[yRoX89rZQDs,c0LUgjnV9KE,4aN4IDeYcz8,cJlO4bMi958,g_ZrgiGcabg,Af5XDbM0Oa8,WOTD2Rp8YOE,lu0biQF-tDU,JQdfI0ikFN4]","[[0],[0],[0],[1],[0],[0],[0],[0],[0]]","[[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[799],[1088],[955],[1093],[1850],[1055],[2222],[1930],[670]]","[0,0,0,0,0,0,0,0,0]"
65,Pristina,[],,Kosovo,XKX,Europe,42.6638771,21.1640849,10.46822,550000,1578000,7.4,91.9,172.6,31.7,29,90.4,"[cvaQdOWdmio,sTTp-GL6mF0,GTEtR9Y37u8]","[[0],[0],[0]]","[[50],[19],[643]]","[[2340],[1777],[1787]]","[0,0,0]"
66,Brussels,"[Bruxelles,Brussel,Brüssel]",,Belgium,BEL,Europe,50.8465573,4.351697,237.08,1019022,11555997,5.8,99,171.2,41.9,26.6,137,"[T91xv0KO6T0,9A7wEMeCR6Y,-Zc-JSTfzPo,P00zkZ3_yYY,-AuNREzf1HQ,sn2F64fBPuY,0_7keNYhHNA,ripu3ZYkdvg,TDWjujb2Tjo,2OezL4fJd_k,5st726hSDgc,SUzgmiKMbTI,VsVbmF1X-sg,MI4Go8OTnZs,xOg7B2ZAmhE,bf8LZH-fTFw,WmE7X2lgdgg]","[[0],[1],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0]]","[[19],[0],[0],[10],[0],[232],[32],[0],[22],[0],[0],[0],[0],[0],[40],[0],[0]]","[[1120],[2628],[3229],[2305],[855],[2282],[2265],[1345],[3725],[3856],[1188],[2007],[2790],[656],[343],[340],[1142]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
67,Riga,[],,Latvia,LVA,Europe,56.9493977,24.1051846,25.207,742572,1901548,8.1,99.9,175,45.2,34.3,103,"[BJbHMgiyIFY,vyspC2hbCQ8,lbSD2MXhbYw,MdsBKNMOI80,ibCheCx9nTc,u9u8aVG50Jc,aOIuIJ3_2Ro,2cEby6Ec7MQ,8glBC27ma1s,Z3a0nfVgRF0,i1-EkZR0TJc,nPL_tdHPeBM,wavrK4AiYzA,Kaf4PRrHYjQ,f8Eb6y5JkCw]","[[0],[0],[0,1],[0],[0,1,1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[3],[0],[90,758],[13022],[300,5144,6315],[651],[0],[0],[0],[0],[0],[0],[3],[0],[0]]","[[2071],[916],[717,2123],[14233],[5143,6297,6496],[1095],[1141],[1541],[1352],[1318],[845],[905],[1198],[1074],[1303]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
68,Sarajevo,[],,Bosnia and Herzegovina,BIH,Europe,43.8519774,18.3866868,27.51478,696731,3280815,13.5,98.5,175,44.4,33,90.49,"[fHVBMP2Ul14,XNBtnQFeSps,CWoA0gG_ZdQ,XeH3whEhDOo,ww8l20_kMWg,9MpZdYsDnp0,V-v4UVmFtno,MnXbHPkVJTI,XLuV3_a-ro0,CQVbWlRoMKA,W7SSFRoURH0,jAftAJA0G9c,CXSwpsQTMYU,Gp4XR7HAVH0]","[[0],[0],[0,0],[0,0,0],[0],[0,0,1,0,0],[0],[1],[0,1],[0],[0],[0],[0],[0]]","[[0],[0],[10,473],[85,2061,3004],[13313],[0,3128,7036,9617,11507],[0],[7],[0,1524],[15],[18],[20],[0],[0]]","[[1168],[1484],[421,1322],[1966,2956,3581],[13782],[3127,6921,9214,11407,12168],[2234],[1309],[1523,2507],[2262],[1414],[1845],[547],[769]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
69,Santo Domingo,[],,Dominican Republic,DOM,North America,18.4801972,-69.942111,37.5,2201941,10847904,64.6,93.8,167.9,28.9,37,179.25,"[J7ONuy3XSd4,SPRj53rfVFM]","[[0],[0]]","[[0],[5]]","[[2782],[1770]]","[0,0]"
70,Havana,[],,Cuba,CUB,North America,23.135305,-82.3589631,107351.8,2163824,11326616,8.9,99.8,166.8,42.3,46,228.38,"[vCywf9saDlY,7bWW844k0_U,M-F686UyBIA,JFNlOkJ2wcM,3a5DiQfi2-w,U4mZyllqjdw,dt1ttJMPuMo,YqqL8uZqlak,t9po9YPY4Rs,JFVZzxBpYR4,CO_S3k6BYUI,Uah8VNRGggo,EoGhx_5Pihg,TY9geKfPe1I,6lGkdlZDL30,ZUfIvr9ozzc,Sn4tth9v9qk,JCMdPPTVovA,XRLx9wlr-TI,JRxsjZMYRdI,MjQVPZj1Plo,c7YDzzvJ7jo,xi4sQD_ZWD0,Q-nPInxejE0,L0NABaEicAI,qnzEtQRtpE0,oBFd0w3CiPg,Yklw6WWLpDM,w12pnY0IGJ0,3SAGLy7YCQQ,77A6VffISlw,3b2SN1seqQo,5v2ScX2fDA8,Mn1VwgTXlb4,PQp04Yv6zbw,tiN8aBp9jNA,ABVxTbaDgww,FOuXk73LZuE,e8ldDGEbaPo,ztRvvnPXW1Q,WTI6WouQ1Gs,fxSdVnGNJAU,54OQ1GzYryM,wl5adWGNUt8,Myw1suErvTk,jrJSZV_gDGo,3YAtqIlGxu8,tffUXvtgdZU,6OHcKb1PbKA,3kXf__tnPqk,0g3YzQ9aYcE,obS8ID0B9sk,h7AHwQsUNO8,qpqtbyLg4yo,ukE6lP7yDKA,PBJiaXLaFGI,6D-zBIiod74,yAyikq2M4bY,RmBJPHuB_0I,XQLW3dpwkCE,p27P2NlefeU,AAyx216JzY4,IlZbc9JB-3M,pXDLiEyFbB0,PsbYoWSHqXA,W1kB02Vslck,Yl4RM4itea8,6VZHbTklVao,eAR-QGaiq4Q,BrQ0hilLrQA,t_haS-jNbEk,-9rQ3gGvIUU,CZAXD1yVcE4,mXAa1YLeKrg,9ceNHIieJB8,LHCz15pdVxs,hpFZopVRxLI,Z98FDtANRyo,0OXOosWHGwM,jtoVEeKFBzE,UJlj00xvACs,EPOUwlfG714,EwIDJzJPmwM,PlN7ouW6fnA,ap-rJYYr3lk,K4y7MOp00n0,DYxoj3Qp55Y,30vOwWvbRo0,bArkZHukiDM,F7tMNvC3XsI,aJQoV_HNQDY,4SlhRooiumM,z-Ua7AJWr-c,rPWeilQlrl8,QB6UGdptJsU,EUBk4mJ8VaY,RLhJhVB3F40,88xOMSmv4zw,2o5WWM6Aph4,Z6ntMxNFrDc,l8R_eKYKdEk,izkLPm2izc0,CC0PZlFK3dE,5A6UQHAPXto,0ucZ9JWJkm8,pMxizOGC77s,az2HvyNG9PE,6kmNlkzGcG0,1meBx9m5IZk,x_PVGh0l0n0,2sjnoGejHyo,jRyOCBWjciw,VEmGF_bqj_U,qkvwhFhX8_g,EISnz5_7sWg,f_UEgJe4Muw,jY35q4geUqU,Mw9a2cR3ALI,v5_bILyFcOA,GsEEpJkC9nk,Js8F3gR2aWM,8Qsjzol-f6I,lOSIhyOXFGM,vsnsUcoN2Bo,VeLh1SbUAp0,r45vcL0E1Gw]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0,0,0,0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[0],[11],[8],[8],[8],[8],[8],[8],[8],[0,480,2393,4110,4610],[9],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[12],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[7],[7],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[3202],[901],[1332],[815],[700],[637],[700],[673],[1368],[406,2200,3710,4270,4990],[711],[640],[636],[630],[492],[406],[342],[409],[362],[680],[472],[471],[419],[507],[958],[434],[820],[638],[512],[598],[712],[23],[415],[654],[808],[382],[763],[568],[538],[632],[497],[560],[414],[518],[695],[523],[198],[788],[287],[827],[277],[973],[834],[664],[871],[718],[796],[573],[538],[433],[803],[752],[724],[595],[402],[610],[639],[330],[440],[290],[925],[1076],[398],[223],[362],[335],[606],[461],[754],[459],[354],[516],[675],[289],[660],[376],[265],[243],[310],[198],[735],[1389],[672],[331],[302],[360],[397],[314],[699],[335],[486],[553],[348],[315],[345],[312],[533],[973],[683],[319],[686],[620],[1218],[566],[486],[343],[978],[626],[594],[937],[435],[1089],[457],[453],[300],[638]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
