id,city,city_aka,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type
30,Bucharest,[],,Romania,ROU,Europe,44.4361414,26.1027202,78.052,1877155,19286123,10.3,99,171.2,45.1,33.9,124.1,"[1JeA8zCqZhI,VYcgh6wDd8A,ljM57cBJDlc,0Y3uzVn8o6Y,ZPYY4cZhCg8,zd_QIQE6uao,BGBhmG9PSSc,MnNX8yIz97w,0G_Y0bn4xoM,SpbQHLW6gI8,1qQo0fTgSDI,4kZuKQtRPF8,uCgdxdzS1dk,kkjodnJb0MI,_QMsPZhQSiA,zKenaLbH9Y0,ZwwO8d8mxlc,V5Nawx_KnGE,f842HjjKsUs,hnkf8iAGZLw,DqWyMpAbRpo]","[[0],[0],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[70],[73],[0],[3],[0],[10],[2],[0],[0],[1],[0],[0],[8],[4],[67],[2],[23],[561],[19],[18],[0]]","[[2593],[2593],[1280],[796],[747],[936],[708],[633],[795],[1074],[1218],[763],[825],[1931],[1320],[232],[1147],[4963],[1024],[2580],[990]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
31,Lima,[],,Peru,PER,South America,-12.062107,-77.036526,114.4,7737002,32971846,13.6,94,160.6,30.1,40.3,225.1,"[dk-NdzCrxvw,8KoRy3LpRFQ,Yg3u3pRs4zo,pyrly8AMrkA,GlX07U2zY3I,trKeUE41KVY]","[[0],[0,0],[0,1,0],[0,0,0],[0],[0]]","[[27],[7,217],[29521,32098,34102],[319,940,1180],[200],[165]]","[[4099],[198,801],[32097,33617,34347],[900,1169,1427],[4851],[3483]]","[0,0,0,3,0,0]"
32,Sofia,[],,Bulgaria,BGR,Europe,42.6977028,23.3217359,33.042,1152556,6927288,9.2,98,169.4,44.7,39,100.2,"[SNQAfWsEVOQ,ovpE2nduga0,lVMHKECK_kI,zdvpOcPrFtQ]","[[0],[1],[0],[0]]","[[0],[40],[23123],[0]]","[[1823],[1010],[25098],[1799]]","[0,0,0,0]"
33,Belgrade,[],,Serbia,SRB,Europe,44.8178131,20.4568974,25.31,1273651,6908224,7.5,99,174.5,43.7,33.1,108.7,"[Bf2ZTOJ2k4A,uNKOTMuEFMI,cW3hehCZwQQ,VSFcTR5mIok,7C6vCVkimMg,X9unGUWMIQw,QBUASLuyR7I,REuPP05TJ_E,xEr0ldRJvzY,pFfV6b2UUfg,KmdVKNODTLc,_9I1GQNHSPU,wyYDkzV5hYY,xkos75scM8g]","[[0],[0],[0],[0],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0]]","[[0],[63],[0],[0],[317],[586],[5],[0],[5],[0],[0],[9],[10],[0]]","[[1799],[4466],[1476],[1743],[1230],[1593],[4142],[1255],[5784],[6221],[2531],[2151],[2307],[1574]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
34,Rabat,[],,Morocco,MAR,Africa,34.02236,-6.8340222,141.109,1655753,36910558,17,77,168.8,30.2,39.5,130.8,"[N97XPQIe_KQ,ETjahDd78_o,xx8-5K6DIxI,Peu7hQ1OYdE,nc98NFW3NSI,L_gI9d6mOIs,AXtGsIh98uk,S-bMDnjmX84,1O92JiXpSuY,-Fs2yIP8eOo,ayqRj_Qv6Kw,LOtYimIdf48]","[[0],[0],[0],[0],[1],[0,0,0,0],[0],[0],[0,0],[0,0,1],[0,1],[0]]","[[210],[0],[841],[340],[728],[166,1021,1379,2259],[281],[0],[15,554],[450,1055,3029],[0,1875],[1724]]","[[2370],[3105],[1055],[626],[1814],[947,1378,2258,2387],[2445],[2049],[460,1364],[1053,1100,3591],[1872,2540],[2945]]","[0,0,0,0,0,0,0,0,0,0,0,0]"
35,Colombo,[],,Sri Lanka,LKA,Asia,6.036891,80.2275658,84.356,648034,21919000,19.7,92,162,33.9,37.7,258.4,[dfjaT_goFuA],[[0]],[[0]],[[3401]],[0]
36,Warsaw,[Warszawa],,Poland,POL,Europe,52.2337172,21.07143224,135.343,1702139,37950802,9.4,99.8,173.2,42.4,28.5,114.2,"[unU8hTgfHNc,mZ9j1Bz_5ZA,9lQllvyxxbI,B7YczVdsjt0,YQ2uf_qDsgc]","[[0],[0],[0],[0],[0,0]]","[[0],[0],[90],[60],[80,4057]]","[[2385],[3605],[2424],[2551],[4056,12426]]","[0,0,0,0,0]"
37,Oslo,[],,Norway,NOR,Europe,59.9133301,10.7389701,73.715,1082575,5379475,2.1,100,173.4,40.6,27.7,92.6,[qxKol0SMEQs],[[0]],[[0]],[[1805]],[0]
38,Mexico City,[CDMX],,Mexico,MEX,North America,19.4326296,-99.1331785,340.8,12294193,128932753,12.8,95,164.1,30.6,43.5,174,"[MpA3FHZ3yZc,oxZBX-e84O8,JCXH_WyC8A4,QtqZE1po_NY,bSsQVJRUgA0,WZDU1SrG0EY,QV-CbkcDeiY,xlbkWUvkJS8,w5us2Ko4Ja4,_2aeg8_-4dQ,QWXI2A1HWmo,vdEOmop7YUs,Dgn4S5YCixY,DhxC7-2UZyA,anedWE1GEl8,fpTAGAU7oeE,yfTiRngO6oY,sk73QLxKH_w,VSOKWCEyWoY,zf2N_aZKDy4,MIvXZV5DafY,Y1X2uH3-JYQ,deDtaEGBXxU,hYfMPPyQ4P8,y9odmHAuing,8iL_yy2OMoo]","[[0],[1],[1],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0]]","[[18],[24],[19],[16],[38],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[5],[50],[5],[5],[5],[295],[0],[0]]","[[3078],[2191],[2859],[2400],[8703],[2940],[1649],[1318],[2502],[512],[1858],[1482],[1960],[1746],[3046],[1546],[885],[1438],[1793],[1539],[1697],[1525],[1040],[1541],[824],[3280]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
39,Minsk,[],,Belarus,BLR,Europe,53.9024716,27.5618225,19.913,1742124,9398861,7.6,99.9,172.8,41.7,24.4,112,"[5py-m9Fg7ck,vl_35lXyKaI,cCrsi1jbK_g,Ab8cyaVTt-s,Rrq9ENpHJjA,Ua_AfIHl2LU,A8Y3KbJdXro,Lgh0uYuHP3U,Bl793RacCHc,JQ1pEFdr9a0,953wVngvrTM,K5GzOziL3Sc,xyTEe2GdRxI,VeVWK8Gypns,PNXZAlzEeGI,XRCFLsisYIs,X7Hhh-wT9zg,zGgu1aVCqPs,ycpZ6NZBZxE,PqkPIBnKgVI,Aj_s0l7o2Bs,nFAE4eb0D7I,r_dtEHHxsa4,f2KJBsEXVYY,hWiAqpzxA2c,VDR3QqX-16U,LUEAcEAsEs4]","[[0],[0],[0],[0],[0],[0],[0],[1],[1],[0],[0],[0,0],[0],[0,0],[0],[1],[0],[1],[0],[0,0],[0],[0],[0],[0,0],[0],[0],[0]]","[[0],[5],[3],[0],[0],[0],[8],[0],[50],[0],[4],[77,714],[4],[285,1343],[0],[122],[9],[56],[9],[0,896],[0],[15],[13],[1671,3284],[0],[86],[10]]","[[1638],[1086],[926],[1275],[701],[1084],[2496],[1615],[1456],[1213],[899],[640,958],[1240],[2203,1911],[912],[1620],[689],[1453],[1084],[860,1770],[524],[861],[2200],[3038,5155],[1837],[700],[2140]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
40,Dublin,[],,Ireland,IRL,Europe,53.3493795,-6.2605593,272.454,1024027,4994724,3.1,99,171.7,39.8,30.1,149.3,"[vQLGYK5gSz4,zoqLX1Z5nm8,i1HrCJFKD0c,jF72Co033eY,HdkvgR5tdQQ,3EF1RAP5yJY,Fy0fqEdDr0Q,rnI6v7Jlpgw,SZ7wrTc4fRo,Dg0dbc099Fk,r5GSFhW3q40,V6tgumeU284,oD5j5Q14cy4]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0]]","[[0],[23],[111],[8],[0],[0],[0],[0],[30],[0],[23],[22],[0]]","[[1240],[2435],[1147],[1125],[1893],[1540],[1200],[1182],[1287],[1785],[3783],[2703],[2806]]","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
41,Beijing,[],,China,CHN,Asia,39.8936695,116.3151027,618.648,18960744,1402112000,17.4,97,169.6,39.8,35.7,146.7,"[TutD2FP14lE,zReauejtek8,tgYTmg7hlkQ]","[[1],[0],[0]]","[[113],[55],[40]]","[[8466],[2036],[2267]]","[0,0,0]"
42,Ljubljana,[],,Slovenia,SVN,Europe,46.0500268,14.5069289,23.937,272220,2100126,5.1,99.7,174.1,45.9,24.3,96.8,"[RI0Dh-JQffI,9qpoAW1bceg,FfC5Jkgz_bU,Qc0JBJk4jn8,Ufa_UFTgSFU,NbKAlNBQrYo,HhjhYr30BxA,4v9jBLIYxGw,81QYzqYEsQQ,XNBtnQFeSps]","[[0],[0],[0],[0],[0],[0,1],[0],[0],[0],[0]]","[[0],[0],[105],[21],[130],[0,872],[18],[0],[0],[24976]]","[[742],[1792],[2340],[641],[1383],[687,1496],[1853],[1180],[1799],[25627]]","[0,0,0,0,0,0,0,0,0,0]"
43,Ottawa,[],ON,Canada,CAN,North America,45.4208777,-75.6901106,67.042,812129,38005238,5.3,99,171.7,42.4,31.7,139.4,"[hagsgZDX2yA,nDlX6llb-uE]","[[0],[0]]","[[23],[0]]","[[1435],[535]]","[0,0]"
44,Stockholm,[],,Sweden,SWE,Europe,59.325117,18.071093,203.899,1515017,10353442,3.1,99,173.6,41,29.8,94.9,"[6nvZfXcV3uA,F6Y0miRc9xA,M1krQ3OFtoA,0GMt9cZ8g_E,a9SUPxVYT0g,_1qbNRls17s,klImBoZUFSo,HE-bGK-sN14,lXqaK1BtDbA,kL0Drj464T8,Ftem4cB2BJg,CbzwBKi0r4U,SMErkpDOPVg,X2ol03vb7kU]","[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1]]","[[21],[0],[0],[128],[0],[2],[0],[0],[2],[0],[2084],[1],[1],[0]]","[[1836],[902],[1287],[11506],[473],[391],[1105],[1524],[1265],[187],[2246],[816],[573],[696]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
45,Amsterdam,[],,Netherlands,NLD,Europe,52.37276,4.893604,237.841,741636,16655799,4,99,177.1,42.2,25.7,84.1,"[Ve4DvQNnDDQ,CoN37VCZ9Jc,ylUNgEYaf3E,Xuo4uCZxNrE,n9kEQg0lcjI,YQMPjBxM-hY,uSf6nHTruaM,eAy9eHsynhM,fsadNqbWXfk,IpqS4Y7ICwU,CgmOah4Y1Ds,cvEkw_Say-8,1837ewV2cJ0,9prXyZBBGmg,bSBMh2wjcpY,2WBFJ9uVXiA,57iX4k9Ibcs,XMK6eZFDTYA,0Gj2QTUgSKI,LcA0td7w4ag,TZaPHuxip3s,Zw-7Xaisoto,5-LlEgcQ7Bk,R6Car-qEFXY,PGNLJGfMUTY,ZwLUuOn6sHQ,5B3mK7UKu1c,PvnyNkLcPkg,RoJ0nxCEDfg,kEMOuQfuc1E,yGEMhgqSWZ0,TeIU85AcXCA,3hA8-Onkk2o,1xvhW53j75A,MccRcCv__K4,lsZJlWqtwxg,bFp0FudIwUw,CxdxMxoBE3c,4zjvRaupYaA,9t6VpboPn7E,bz7kJUVgxs8,yAvRwJq-15A,Vn63GpxRDD4,QmxtgsX6xD8]","[[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]]","[[23],[0],[90],[0],[0],[22],[27],[2031],[23],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,1716],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1916]]","[[3429],[2520],[2395],[2135],[1006],[2477],[4675],[2463],[564],[2390],[868],[1985],[2383],[1100],[700],[3916],[1225],[1918],[1950],[2055],[3095],[1421,3764],[1755],[2314],[2447],[2424],[2221],[1773],[2229],[1557],[992],[1733],[2581],[3529],[1206],[2851],[304],[2721],[4893],[1733],[1940],[360],[2734],[2075]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
46,Yangon,[],,Myanmar,MMR,Asia,16.8305877,96.2191864,64.815,4477638,54409794,20.4,89.1,160.7,30.4,30.7,214.08,"[Il-4y-IPnfg,vtLmlHRCsto]","[[0],[0]]","[[10],[0]]","[[2183],[1775]]","[0,0]"
47,Tunis,[],,Tunisia,TUN,Africa,36.8002068,10.1857757,48.529,693210,11818618,16.5,96.2,169.3,34,33.7,131.7,"[0wsuONzLXp0,PZcotuMqqPk,AIs8OjI7Mek,2rgUB6tJBfU,EvtfqfW8YHI,OY7XHxhY0mw,9OZhxC6M8mI,BE0bxqX2HOs,1DgKp1vkTTQ,1pTspHQXkpA,T94OvwLxK3g]","[[0],[0],[0,0],[0,0],[0,0],[0],[0,0],[0],[0],[0],[0]]","[[31],[11278],[27,779],[583,902],[0,1660],[5],[16,372],[0],[11],[0],[44]]","[[3148],[13484],[306,918],[881,1005],[1190,1798],[3870],[353,1204],[492],[265],[984],[1470]]","[0,0,0,0,0,0,0,0,0,0,0]"
48,Lisbon,[Lisboa],,Portugal,PRT,Europe,38.7077507,-9.1365919,103.33,517802,10305564,8.2,96.1,167.8,46,34.6,106.8,"[IYzfOouB6rs,Lh9vwKMsEWE,5GVDi1ElQBI,VWmYF8iVf_U,-loKmVacOPU,teK_pFeaYXM,KFkTI71IkOU,OCGdUxjVPd0,rgKOkv-MqMc,MFox0HMbqhY,Oac_2vPkXGs,0uL1c6YMDms,6IIMVJERLuc,CxiGxdnBmeU,BbJg3DGniBA,LoKYqnsplW8,11CUnxdTRns,59aKTAVsfP8,5peS30RlgGI,lDdqny7BTIE,VY1waRimC6Q,HMD_w8d_UBs,QBsTHh_z6fY,syL1jBDxLZE,5i680Ay4lrA,wdlBtQE-INw]","[[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0,0],[0],[0],[1,0],[0]]","[[1947],[70],[64],[74],[71],[200],[96],[51],[60],[27],[1020],[448],[712],[120],[110],[2840],[85],[0],[62],[1035],[56],[2,2],[58],[205],[60,3457],[7895]]","[[2875],[908],[3030],[1440],[957],[2284],[1647],[900],[1408],[920],[1667],[4160],[1391],[1940],[2100],[4560],[3448],[3122],[4434],[1379],[2129],[1037,1037],[619],[3810],[2849,4406],[8529]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
49,Athens,[],,Greece,GRC,Europe,37.9755648,23.7348324,85.809,664046,10715549,8.3,97.9,172.5,46.2,32.9,128.1,"[UzmCmQ1-Rlg,GZ_rV35M460,QhvVnvECnn8,1VAtLYqE3Sg,0u3GeIp0VS8,VxB_BNSXbR8,nIk2Ng7UUDY,TcoPzufxeeM,HF5ZwVDEL70,ydmnL5nfITQ,i8mddS6tVhU,Oz86nR63_OU,DDIKfm6JJj0,IZ_gQbuu2_Y,YFcUVfmVHrQ,HrAjdTlT6T4,czbWy0_RRfU,ker9dOc9DyQ,59bn82j4V3o,oFQtP4N4_GU,bkAIv-AjyDg,GUKnu_RqjYo,AR0uv_VmNvY,ZgI8UTQU5t4,Qx_XmNZGwgA,2d1DNm4nsyU,2awJGwaD7nc,yMHtQ1uECo8,7fm8xNY0U9A,ohKbyXzCQmc,ymZUONsyF0w]","[[0],[0],[0],[0],[0,1],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[1],[1]]","[[0],[0],[70],[70],[0,661],[0],[0],[0],[1],[29],[14],[24],[3],[19],[7],[5],[4],[18],[29],[19],[20],[17],[18],[20],[16],[17],[17],[17],[0],[1],[0]]","[[1424],[1673],[3311],[3000],[660,1268],[1662],[638],[1260],[1348],[772],[985],[635],[765],[500],[879],[619],[1474],[717],[917],[870],[855],[341],[429],[438],[1189],[364],[311],[575],[2578],[1862],[1433]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
